,id_onibus,latitude,longitude,tempo_captura,tipo_veiculo
0,EA008,-25.468856,-49.255635,16:33,COMUM
1,EA027,-25.536658,-49.27292,16:32,COMUM
2,GI855,-25.435511,-49.273995,16:34,MICRO ESPECIAL
3,GI856,-25.515993,-49.27512,16:34,MICRO ESPECIAL
4,DA033,-25.468226,-49.25512,16:31,COMUM
5,DC298,-25.492566,-49.220766,16:34,COMUM
6,DA015,-25.492616,-49.205165,16:33,COMUM
7,DA294,-25.467971,-49.255381,16:33,COMUM
8,DA298,-25.46721,-49.255255,16:34,COMUM
9,MT013,-25.443336,-49.242553,16:34,PADRON
10,BT007,-25.404985,-49.302966,16:33,PADRON
11,MT010,-25.438745,-49.270066,16:33,PADRON
12,MT008,-25.4294,-49.272703,16:33,PADRON
13,MT009,-25.422926,-49.312748,16:32,PADRON
14,BT003,-25.415446,-49.320763,16:27,PADRON
15,BT010,-25.389096,-49.267463,16:33,PADRON
16,BT009,-25.407315,-49.282973,16:31,PADRON
17,BT008,-25.405093,-49.302936,16:33,PADRON
18,MT011,-25.4296,-49.269203,16:33,PADRON
19,BT006,-25.413166,-49.271231,16:34,PADRON
20,BB307,-25.379493,-49.280143,16:33,HIBRIDO
21,MT006,-25.419673,-49.293943,16:33,PADRON
22,HC850,-25.447185,-49.26925,16:33,MICRO ESPECIAL
23,DL306,-25.430498,-49.211048,16:34,PADRON
24,BL339,-25.4781,-49.24379,16:33,PADRON
25,EL322,-25.4489,-49.304671,16:33,PADRON
26,GL325,-25.422565,-49.291108,16:29,PADRON
27,DL314,-25.491708,-49.293085,16:33,PADRON
28,EL332,-25.455693,-49.2678,16:33,PADRON
29,EL323,-25.533105,-49.266758,16:33,PADRON
30,GL321,-25.472245,-49.261393,16:33,PADRON
31,GL320,-25.534636,-49.26856,16:32,PADRON
32,GL322,-25.44707,-49.223946,16:34,PADRON
33,DL308,-25.42751,-49.237273,16:33,PADRON
34,BL311,-25.467636,-49.298576,16:32,PADRON
35,DL307,-25.43386,-49.301606,16:34,PADRON
36,BL326,-25.428075,-49.297416,16:34,PADRON
37,BL336,-25.413118,-49.259911,16:33,PADRON
38,GI004,-25.53454,-49.268921,16:33,COMUM
39,BI870,-25.387333,-49.268465,16:33,MICRO ESPECIAL
40,KB608,-25.515108,-49.271298,16:32,ARTICULADO
41,KB607,-25.50707,-49.246816,16:34,ARTICULADO
42,CB601,-25.464703,-49.214218,16:33,ARTICULADO
43,BB613,-25.387206,-49.211501,16:33,ARTICULADO
44,CB604,-25.44404,-49.208393,16:33,ARTICULADO
45,CI002,-25.430123,-49.271396,16:33,COMUM
46,CI004,-25.426528,-49.258911,16:34,COMUM
47,DN604,-25.45621,-49.240081,16:33,MICRO ESPECIAL
48,GI006,-25.519175,-49.2956,16:34,COMUM
49,HE610,-25.527736,-49.240601,16:33,ARTICULADO
50,HE615,-25.521218,-49.295545,16:33,ARTICULADO
51,HE612,-25.473696,-49.269755,16:34,ARTICULADO
52,HI009,-25.479743,-49.324315,16:34,COMUM
53,JI018,-25.460816,-49.336785,16:34,COMUM
54,BI892,-25.363851,-49.28025,16:32,MICRO ESPECIAL
55,BI896,-25.36896,-49.324668,16:21,MICRO ESPECIAL
56,BI850,-25.426526,-49.279415,16:33,MICRO ESPECIAL
57,JI019,-25.494993,-49.338865,16:34,COMUM
58,HI049,-25.496625,-49.347565,16:33,COMUM
59,JI859,-25.429991,-49.318826,16:33,MICRO ESPECIAL
60,MI850,-25.422218,-49.34643,16:34,MICRO ESPECIAL
61,BI884,-25.41169,-49.327683,16:34,MICRO ESPECIAL
62,ML306,-25.426873,-49.202535,16:33,PADRON
63,ML309,-25.430968,-49.277193,16:33,PADRON
64,BL313,-25.422885,-49.24742,16:33,PADRON
65,CL300,-25.401265,-49.329753,16:33,PADRON
66,MI851,-25.430096,-49.266786,16:34,MICRO ESPECIAL
67,HI026,-25.512923,-49.294916,16:34,COMUM
68,HE724,-25.451478,-49.287903,16:34,BIARTICULADO
69,HE721,-25.441785,-49.277545,16:33,BIARTICULADO
70,HE731,-25.480165,-49.2924,16:33,BIARTICULADO
71,HE726,-25.507286,-49.295843,16:34,BIARTICULADO
72,HI032,-25.533318,-49.300831,16:33,COMUM
73,HA022,-25.512653,-49.295233,16:33,COMUM
74,HI607,-25.569353,-49.332181,16:34,ARTICULADO
75,JC309,-25.442756,-49.271678,16:33,PADRON
76,JC314,-25.481498,-49.343923,16:34,PADRON
77,JC304,-25.476533,-49.322203,16:32,PADRON
78,JC315,-25.443518,-49.27017,16:33,PADRON
79,JI860,-25.435723,-49.271523,16:33,MICRO ESPECIAL
80,JL321,-25.345946,-49.266565,16:33,PADRON
81,JL316,-25.432251,-49.26403,16:33,PADRON
82,JE710,-25.430243,-49.292603,16:34,BIARTICULADO
83,DE713,-25.441206,-49.236351,16:34,BIARTICULADO
84,DE712,-25.441698,-49.346966,16:29,BIARTICULADO
85,DE701,-25.437598,-49.266641,16:34,BIARTICULADO
86,DE718,-25.463591,-49.210521,16:34,BIARTICULADO
87,DE709,-25.467923,-49.25517,16:33,BIARTICULADO
88,BI853,-25.433306,-49.376675,16:34,MICRO ESPECIAL
89,HB605,-25.477211,-49.327503,16:34,ARTICULADO
90,HB608,-25.423961,-49.35162,16:33,ARTICULADO
91,HB610,-25.51399,-49.31219,16:34,ARTICULADO
92,HB611,-25.423865,-49.351366,16:34,ARTICULADO
93,GB610,-25.478345,-49.325551,16:32,ARTICULADO
94,GB606,-25.549365,-49.291241,16:34,ARTICULADO
95,KA604,-25.534993,-49.236443,16:34,ARTICULADO
96,KA602,-25.495048,-49.287268,16:33,ARTICULADO
97,BA011,-25.409418,-49.354215,16:34,COMUM
98,BI897,-25.431861,-49.290168,16:31,MICRO ESPECIAL
99,BB601,-25.386026,-49.273306,16:31,ARTICULADO
100,KB605,-25.490338,-49.255458,16:33,ARTICULADO
101,EB600,-25.411101,-49.247716,16:34,ARTICULADO
102,KB603,-25.4477,-49.304828,16:31,ARTICULADO
103,BB310,-25.440205,-49.221098,16:34,HIBRIDO
104,BA013,-25.431665,-49.315055,16:33,COMUM
105,HA016,-25.574453,-49.328798,16:34,COMUM
106,HI046,-25.553261,-49.332943,16:33,COMUM
107,BC022,-25.43086,-49.328545,16:34,COMUM
108,BC018,-25.435173,-49.308538,16:33,COMUM
109,DC854,-25.42342,-49.26809,16:34,MICRO ESPECIAL
110,GI030,-25.503033,-49.290011,16:34,COMUM
111,BI893,-25.378771,-49.277988,16:33,MICRO ESPECIAL
112,DC853,-25.435703,-49.27154,16:34,MICRO ESPECIAL
113,BC925,-25.373193,-49.26311,16:34,MICRO ESPECIAL
114,BC927,-25.426638,-49.237991,16:34,MICRO ESPECIAL
115,BI895,-25.41464,-49.220095,16:34,MICRO ESPECIAL
116,BI030,-25.431456,-49.279313,16:34,COMUM
117,DC092,-25.435046,-49.264353,16:34,COMUM
118,DC292,-25.460758,-49.223685,16:33,COMUM
119,GI038,-25.568828,-49.283271,16:34,COMUM
120,GI003,-25.532123,-49.297216,16:33,COMUM
121,HA023,-25.517183,-49.295665,16:34,COMUM
122,HI021,-25.591303,-49.32619,16:34,COMUM
123,HA024,-25.538825,-49.307906,16:31,COMUM
124,BI011,-25.364045,-49.242173,16:32,COMUM
125,BI024,-25.398221,-49.318896,16:30,COMUM
126,GI011,-25.538851,-49.258925,16:33,COMUM
127,EI008,-25.534263,-49.296055,16:33,COMUM
128,GI017,-25.533191,-49.243565,16:31,COMUM
129,EA003,-25.533946,-49.296196,16:34,COMUM
130,EA009,-25.469105,-49.255433,16:34,COMUM
131,HI045,-25.497088,-49.321293,16:34,COMUM
132,BI859,-25.408793,-49.291698,16:33,MICRO ESPECIAL
133,BI851,-25.453783,-49.278298,16:34,MICRO ESPECIAL
134,HI861,-25.524588,-49.33192,16:34,MICRO ESPECIAL
135,HI006,-25.535298,-49.331806,16:33,COMUM
136,DC855,-25.435973,-49.235643,16:34,MICRO ESPECIAL
137,MI001,-25.416778,-49.294728,16:33,COMUM
138,MI002,-25.414668,-49.303966,16:33,COMUM
139,EI007,-25.516375,-49.25629,16:33,COMUM
140,EI018,-25.488823,-49.281506,16:33,COMUM
141,DA296,-25.475351,-49.25876,16:33,COMUM
142,BE718,-25.512721,-49.294643,16:32,BIARTICULADO
143,HE609,-25.408821,-49.219851,16:33,ARTICULADO
144,KI001,-25.5411,-49.294465,16:33,COMUM
145,GI005,-25.488126,-49.331175,16:34,COMUM
146,JA300,-25.534365,-49.268201,16:33,PADRON
147,GI027,-25.512775,-49.288836,16:34,COMUM
148,BE729,-25.44163,-49.277235,16:34,BIARTICULADO
149,BE725,-25.399766,-49.246333,16:33,BIARTICULADO
150,HE714,-25.429303,-49.267905,16:33,BIARTICULADO
151,HE717,-25.440975,-49.275308,16:33,BIARTICULADO
152,BE719,-25.401885,-49.248255,16:34,BIARTICULADO
153,BE713,-25.463683,-49.29087,16:33,BIARTICULADO
154,BE708,-25.461985,-49.290226,16:31,BIARTICULADO
155,BE710,-25.421541,-49.26625,16:34,BIARTICULADO
156,BE724,-25.378935,-49.22706,16:33,BIARTICULADO
157,GE727,-25.49173,-49.29351,16:33,BIARTICULADO
158,HI002,-25.551976,-49.305406,16:26,COMUM
159,HI038,-25.587125,-49.318026,16:33,COMUM
160,JI006,-25.457175,-49.30365,16:34,COMUM
161,JI020,-25.47469,-49.318315,16:34,COMUM
162,JI008,-25.469631,-49.303851,16:34,COMUM
163,HI601,-25.523953,-49.296353,16:34,ARTICULADO
164,HI043,-25.585283,-49.340331,16:33,COMUM
165,HI610,-25.573873,-49.328103,16:33,ARTICULADO
166,GE608,-25.501206,-49.237625,16:34,ARTICULADO
167,GE605,-25.535311,-49.27298,16:33,ARTICULADO
168,GE607,-25.476081,-49.292653,16:34,ARTICULADO
169,HI042,-25.580566,-49.31731,16:33,COMUM
170,HI024,-25.588455,-49.318588,16:34,COMUM
171,HN403,-25.482856,-49.30611,16:33,MICRO ESPECIAL
172,DN605,-25.435343,-49.273733,16:33,MICRO ESPECIAL
173,GI050,-25.560435,-49.26877,16:33,COMUM
174,BC028,-25.427273,-49.255345,16:33,COMUM
175,BI875,-25.413356,-49.279441,16:34,MICRO ESPECIAL
176,BI880,-25.375453,-49.22001,16:34,MICRO ESPECIAL
177,DA011,-25.467546,-49.207115,16:34,COMUM
178,EI006,-25.536873,-49.272775,16:34,COMUM
179,GI007,-25.535635,-49.271133,16:34,COMUM
180,EI002,-25.499325,-49.238373,16:34,COMUM
181,HE715,-25.470765,-49.255236,16:33,BIARTICULADO
182,GE724,-25.436665,-49.269163,16:33,BIARTICULADO
183,HE720,-25.506546,-49.28418,16:33,BIARTICULADO
184,BI865,-25.383056,-49.258571,16:34,MICRO ESPECIAL
185,JB301,-25.478,-49.325535,16:34,PADRON
186,EB609,-25.452743,-49.229923,16:34,ARTICULADO
187,KB606,-25.450968,-49.252938,16:34,ARTICULADO
