,latitude,longitude,tempo_captura,id_onibus
0,-22.95027,-43.34795,04-25-2023 04:19:14,C47503
1,-22.91706,-43.60805,04-25-2023 07:41:07,D17161
2,-22.89662,-43.5614,04-25-2023 09:12:21,C12020
3,-22.84265,-43.25419,04-25-2023 09:19:33,B71144
4,-22.85976,-43.45858,04-25-2023 09:31:58,D17116
5,-22.91641,-43.60769,04-25-2023 10:14:27,D87832
6,-23.00174,-43.36493,04-25-2023 10:14:49,A29084
7,-22.8374,-43.28531,04-25-2023 10:18:21,B58063
8,-22.85969,-43.5068,04-25-2023 10:46:05,C30001
9,-22.85971,-43.50668,04-25-2023 10:50:33,C30042
10,-22.85932,-43.50691,04-25-2023 11:00:42,C30315
11,-22.91676,-43.60808,04-25-2023 11:01:40,D87199
12,-22.95291,-43.34904,04-25-2023 11:45:10,C47539
13,-22.86279,-43.41337,04-25-2023 11:51:52,D17153
14,-23.00038,-43.37709,04-25-2023 11:52:26,B32624
15,-22.98471,-43.36611,04-25-2023 11:52:33,C30184
16,-22.83721,-43.28548,04-25-2023 11:52:45,B58037
17,-22.9502,-43.34791,04-25-2023 12:15:23,C30334
18,-23.00215,-43.36605,04-25-2023 12:25:54,A29064
19,-22.85941,-43.50679,04-25-2023 12:56:54,C47631
20,-22.86795,-43.25725,04-25-2023 13:30:32,B10529
21,-22.87441,-43.24159,04-25-2023 13:44:20,A41300
22,-22.81718,-43.39307,04-25-2023 13:53:41,B32532
23,-22.95185,-43.34811,04-25-2023 13:54:49,C30096
24,-22.91706,-43.60831,04-25-2023 13:58:01,D17014
25,-22.91721,-43.60832,04-25-2023 14:05:58,D87884
26,-22.85597,-43.49231,04-25-2023 14:08:05,D13362
27,-22.91824,-43.60783,04-25-2023 14:23:40,D17106
28,-22.91693,-43.60838,04-25-2023 15:01:02,D17178
29,-22.8684,-43.29139,04-25-2023 16:03:53,A29115
30,-22.85642,-43.49234,04-25-2023 16:09:11,D13116
31,-22.81754,-43.3932,04-25-2023 16:11:49,B32800
32,-22.85943,-43.50692,04-25-2023 16:14:02,C47634
33,-22.88008,-43.35753,04-25-2023 16:18:29,C13144
34,-22.82607,-43.33089,04-25-2023 16:19:23,B27138
35,-22.89411,-43.53153,04-25-2023 16:25:55,D86730
36,-22.8789,-43.24078,04-25-2023 16:32:03,C30374
37,-22.80448,-43.30982,04-25-2023 16:36:08,B31128
38,-22.95148,-43.34789,04-25-2023 16:39:38,C30190
39,-22.89022,-43.29248,04-25-2023 16:44:32,A72004
40,-22.89492,-43.5327,04-25-2023 16:50:50,D86193
41,-22.92034,-43.25647,04-25-2023 16:52:20,A27615
42,-22.91534,-43.40202,04-25-2023 16:56:22,C47461
43,-22.88736,-43.32448,04-25-2023 17:13:24,B10537
44,-22.85357,-43.3759,04-25-2023 17:26:46,B44660
45,-22.83946,-43.28299,04-25-2023 17:29:24,B58178
46,-22.91691,-43.60773,04-25-2023 17:30:48,D17137
47,-22.95979,-43.19082,04-25-2023 17:34:09,A29165
48,-22.90927,-43.21777,04-25-2023 17:44:16,C12524
49,-22.86636,-43.30362,04-25-2023 17:44:58,B58022
50,-22.90774,-43.17272,04-25-2023 17:46:59,C12525
51,-22.90908,-43.21777,04-25-2023 17:47:33,C12519
52,-22.90915,-43.21757,04-25-2023 17:53:02,C12516
53,-22.85423,-43.26777,04-25-2023 17:53:39,B58185
54,-23.00232,-43.36591,04-25-2023 17:59:09,B32524
55,-22.95265,-43.34958,04-25-2023 18:10:25,C47936
56,-23.00044,-43.36897,04-25-2023 18:12:19,B32666
57,-22.91664,-43.60735,04-25-2023 18:12:34,D17103
58,-22.87994,-43.35657,04-25-2023 18:12:36,C47979
59,-22.91724,-43.60767,04-25-2023 18:15:07,D87894
60,-22.87478,-43.24192,04-25-2023 18:15:22,A41070
61,-22.91753,-43.60767,04-25-2023 18:15:55,D17109
62,-22.90833,-43.17263,04-25-2023 18:20:00,C12527
63,-23.00177,-43.36521,04-25-2023 18:24:17,A50002
64,-23.00213,-43.36558,04-25-2023 18:28:05,A29077
65,-22.81939,-43.22588,04-25-2023 18:30:13,B10059
66,-22.80611,-43.36382,04-25-2023 18:30:24,B32791
67,-22.90992,-43.22113,04-25-2023 18:32:18,A29046
68,-22.79527,-43.20306,04-25-2023 18:32:59,B28507
69,-22.81708,-43.30226,04-25-2023 18:33:22,B27192
70,-22.84678,-43.24749,04-25-2023 18:34:07,D53666
71,-22.84678,-43.24749,04-25-2023 18:34:07,D53666
72,-22.91684,-43.6075,04-25-2023 18:35:35,D17001
73,-22.90916,-43.21758,04-25-2023 18:36:39,C12521
74,-22.95275,-43.34858,04-25-2023 18:36:53,C47987
75,-22.87988,-43.3572,04-25-2023 18:37:12,D13097
76,-22.81784,-43.39367,04-25-2023 18:38:24,B32818
77,-22.84412,-43.24962,04-25-2023 18:39:03,D53674
78,-22.84412,-43.24962,04-25-2023 18:39:03,D53674
79,-22.93992,-43.19983,04-25-2023 18:39:25,A48088
80,-22.90233,-43.18162,04-25-2023 18:39:42,B28538
81,-22.92371,-43.1708,04-25-2023 18:39:52,D86737
82,-22.89601,-43.56,04-25-2023 18:41:53,B32601
83,-22.87565,-43.24225,04-25-2023 18:43:58,B31091
84,-22.91077,-43.27005,04-25-2023 18:44:06,A48149
85,-22.85793,-43.38728,04-25-2023 18:44:48,D53669
86,-22.85793,-43.38728,04-25-2023 18:44:48,D53669
87,-22.88056,-43.23906,04-25-2023 18:44:54,B11567
88,-22.82507,-43.40225,04-25-2023 18:44:59,B32505
89,-22.86093,-43.35593,04-25-2023 18:45:41,B44577
90,-22.91693,-43.60809,04-25-2023 18:45:42,D17102
91,-22.92914,-43.25385,04-25-2023 18:45:49,A50153
92,-22.86106,-43.35576,04-25-2023 18:45:52,B44597
93,-22.89022,-43.22922,04-25-2023 18:45:58,A29151
94,-22.90224,-43.29946,04-25-2023 18:46:00,B25550
95,-22.92097,-43.68054,04-25-2023 18:46:13,D13278
96,-22.89409,-43.53161,04-25-2023 18:46:20,D86711
97,-22.95997,-43.39529,04-25-2023 18:46:37,C50175
98,-22.9602,-43.39542,04-25-2023 18:46:51,A50222
99,-23.00104,-43.33312,04-25-2023 18:47:04,A50049
100,-22.81714,-43.30198,04-25-2023 18:47:13,B27187
101,-22.91723,-43.60836,04-25-2023 18:47:17,D17166
102,-22.96083,-43.20414,04-25-2023 18:47:31,A41463
103,-22.89493,-43.53183,04-25-2023 18:47:36,D86256
104,-22.91726,-43.60805,04-25-2023 18:48:13,D17026
105,-22.90247,-43.29895,04-25-2023 18:48:27,B25583
106,-22.86119,-43.35569,04-25-2023 18:48:37,B44642
107,-22.83838,-43.3503,04-25-2023 18:48:46,B44619
108,-22.82952,-43.24839,04-25-2023 18:48:47,B31087
109,-22.91686,-43.60847,04-25-2023 18:48:48,D17059
110,-22.91703,-43.60838,04-25-2023 18:48:49,D17105
111,-22.90778,-43.20012,04-25-2023 18:48:55,D17518
112,-22.90232,-43.55538,04-25-2023 18:49:01,D86769
113,-22.8937,-43.53218,04-25-2023 18:49:04,D86370
114,-22.81091,-43.19448,04-25-2023 18:49:10,B10129
115,-22.87556,-43.24247,04-25-2023 18:49:14,B32780
116,-22.89729,-43.48759,04-25-2023 18:49:21,D53915
117,-22.89729,-43.48759,04-25-2023 18:49:21,D53915
118,-22.90459,-43.19244,04-25-2023 18:49:24,A41103
119,-22.96135,-43.20405,04-25-2023 18:49:26,C41265
120,-23.00236,-43.36653,04-25-2023 18:49:31,B32506
121,-22.90155,-43.20841,04-25-2023 18:49:46,A50004
122,-22.8938,-43.53157,04-25-2023 18:50:29,D86723
123,-22.91694,-43.60803,04-25-2023 18:50:43,D87887
124,-22.88356,-43.49474,04-25-2023 18:50:44,D53528
125,-22.90705,-43.17334,04-25-2023 18:50:46,B27006
126,-23.00178,-43.36573,04-25-2023 18:51:14,A50098
127,-22.817,-43.30197,04-25-2023 18:51:23,C27194
128,-22.81583,-43.18838,04-25-2023 18:51:24,B28518
129,-22.81589,-43.18828,04-25-2023 18:51:31,B28738
130,-22.89594,-43.55997,04-25-2023 18:51:31,B32615
131,-22.81708,-43.30211,04-25-2023 18:51:35,C27123
132,-22.91795,-43.60788,04-25-2023 18:51:35,D87704
133,-22.79516,-43.20274,04-25-2023 18:51:37,B28532
134,-22.81611,-43.31187,04-25-2023 18:51:41,C27038
135,-22.95173,-43.34802,04-25-2023 18:51:43,C30214
136,-22.83736,-43.32486,04-25-2023 18:51:52,C27082
137,-22.9292,-43.25375,04-25-2023 18:51:53,A50167
138,-22.85652,-43.49403,04-25-2023 18:51:56,D86785
139,-22.89981,-43.34792,04-25-2023 18:51:56,C47989
